sale_id,date_id,product_id,customer_id,employee_id,quantity,total_amount
1,20260105,5,40,5,5,12500.0
2,20260105,8,5,4,5,25000.0
3,20260101,6,14,4,5,90000.0
4,20260114,9,11,5,3,27000.0
5,20260108,8,8,4,3,15000.0
6,20260115,7,25,5,1,15000.0
7,20260107,4,11,2,5,22500.0
8,20260111,10,30,4,1,3500.0
9,20260111,4,13,1,3,13500.0
10,20260103,9,7,4,3,27000.0
11,20260107,8,7,1,2,10000.0
12,20260113,4,7,5,4,18000.0
13,20260110,10,40,1,5,17500.0
14,20260101,10,10,1,1,3500.0
15,20260112,7,40,5,2,30000.0
16,20260110,6,8,5,5,90000.0
17,20260112,5,15,3,4,10000.0
18,20260103,2,30,2,3,8400.0
19,20260101,7,7,2,4,60000.0
20,20260107,7,30,4,5,75000.0
21,20260101,2,9,4,5,14000.0
22,20260102,5,1,2,5,12500.0
23,20260111,9,13,1,4,36000.0
24,20260102,8,13,2,5,25000.0
25,20260102,1,7,2,2,6000.0
26,20260110,10,2,3,2,7000.0
27,20260109,6,30,4,4,72000.0
28,20260106,4,5,3,5,22500.0
29,20260108,8,4,2,4,20000.0
30,20260108,4,25,1,4,18000.0
31,20260106,5,4,4,1,2500.0
32,20260110,9,14,2,2,18000.0
33,20260107,6,7,2,4,72000.0
34,20260106,5,20,4,5,12500.0
35,20260109,6,4,1,5,90000.0
36,20260113,7,10,5,3,45000.0
37,20260101,3,9,4,2,24000.0
38,20260105,5,5,1,4,10000.0
39,20260102,10,35,3,1,3500.0
40,20260115,7,20,2,2,30000.0
41,20260113,4,35,3,4,18000.0
42,20260113,2,9,2,3,8400.0
43,20260104,1,1,5,2,6000.0
44,20260108,9,8,2,4,36000.0
45,20260104,2,14,5,2,5600.0
46,20260108,2,7,5,5,14000.0
47,20260102,2,20,5,3,8400.0
48,20260101,9,40,5,5,45000.0
49,20260111,6,1,5,3,54000.0
50,20260115,5,14,1,3,7500.0
51,20260105,5,35,3,3,7500.0
52,20260107,3,13,4,4,48000.0
53,20260112,10,6,5,4,14000.0
54,20260104,9,8,5,4,36000.0
55,20260103,2,7,4,5,14000.0
56,20260101,5,13,5,2,5000.0
57,20260104,4,9,4,4,18000.0
58,20260112,6,7,3,2,36000.0
59,20260109,4,7,5,3,13500.0
60,20260114,6,3,1,4,72000.0
61,20260110,3,20,1,1,12000.0
62,20260110,10,20,2,4,14000.0
63,20260104,7,13,2,1,15000.0
64,20260114,6,5,2,1,18000.0
65,20260110,5,6,1,4,10000.0
66,20260105,10,1,5,1,3500.0
67,20260115,9,35,2,3,27000.0
68,20260112,1,30,3,5,15000.0
69,20260109,5,9,3,2,5000.0
70,20260113,2,1,2,5,14000.0
71,20260109,9,10,3,5,45000.0
72,20260110,1,4,5,4,12000.0
73,20260105,3,40,4,1,12000.0
74,20260103,5,40,1,2,5000.0
75,20260109,6,35,3,2,36000.0
76,20260115,3,14,5,5,60000.0
77,20260111,4,30,2,4,18000.0
78,20260113,1,13,5,3,9000.0
79,20260103,7,35,5,2,30000.0
80,20260108,8,2,5,3,15000.0
81,20260102,10,3,5,3,10500.0
82,20260101,9,7,4,2,18000.0
83,20260101,10,30,2,2,7000.0
84,20260115,5,20,5,2,5000.0
85,20260107,2,30,3,3,8400.0
86,20260114,1,30,3,1,3000.0
87,20260106,7,12,4,4,60000.0
88,20260107,1,6,2,4,12000.0
89,20260106,1,40,1,1,3000.0
90,20260103,2,6,3,4,11200.0
91,20260108,9,11,1,5,45000.0
92,20260103,6,4,2,3,54000.0
93,20260111,1,25,2,4,12000.0
94,20260111,1,3,4,5,15000.0
95,20260108,9,7,5,5,45000.0
96,20260112,10,7,1,2,7000.0
97,20260115,8,7,5,3,15000.0
98,20260101,3,40,1,1,12000.0
99,20260103,10,14,2,1,3500.0
100,20260112,4,20,1,2,9000.0
101,20260112,2,9,1,2,5600.0
102,20260103,6,15,1,1,18000.0
103,20260114,3,6,2,4,48000.0
104,20260101,9,25,5,4,36000.0
105,20260108,7,13,1,4,60000.0
106,20260103,9,11,5,2,18000.0
107,20260102,4,7,1,3,13500.0
108,20260110,2,4,1,3,8400.0
109,20260107,1,35,3,2,6000.0
110,20260112,8,10,2,4,20000.0
111,20260101,1,3,5,1,3000.0
112,20260106,5,10,3,2,5000.0
113,20260109,4,30,1,3,13500.0
114,20260108,5,1,5,2,5000.0
115,20260113,4,8,1,1,4500.0
116,20260101,3,8,3,2,24000.0
117,20260105,3,3,3,2,24000.0
118,20260106,1,35,5,5,15000.0
119,20260114,10,9,1,5,17500.0
120,20260111,10,11,4,1,3500.0
121,20260115,7,11,3,4,60000.0
122,20260110,8,40,2,3,15000.0
123,20260106,1,10,2,5,15000.0
124,20260114,2,13,4,3,8400.0
125,20260112,9,3,1,1,9000.0
126,20260102,5,11,4,3,7500.0
127,20260105,8,6,3,2,10000.0
128,20260107,1,3,5,5,15000.0
129,20260111,10,14,5,5,17500.0
130,20260101,3,7,1,5,60000.0
131,20260111,6,20,5,4,72000.0
132,20260110,9,20,5,1,9000.0
133,20260112,1,10,4,4,12000.0
134,20260115,2,5,4,5,14000.0
135,20260106,1,11,1,5,15000.0
136,20260110,1,30,1,2,6000.0
137,20260111,6,7,5,4,72000.0
138,20260115,3,10,2,3,36000.0
139,20260105,5,2,5,2,5000.0
140,20260105,7,14,3,4,60000.0
141,20260103,4,8,5,5,22500.0
142,20260106,5,14,5,2,5000.0
143,20260107,6,4,2,3,54000.0
144,20260114,4,11,1,2,9000.0
145,20260101,3,2,5,3,36000.0
146,20260109,5,14,2,4,10000.0
147,20260101,4,15,1,1,4500.0
148,20260104,5,30,3,2,5000.0
149,20260106,7,25,2,2,30000.0
150,20260102,6,3,4,5,90000.0
151,20260115,3,7,2,5,60000.0
152,20260115,8,13,4,1,5000.0
153,20260114,5,25,4,1,2500.0
154,20260112,5,10,2,2,5000.0
155,20260112,8,25,4,4,20000.0
156,20260105,1,30,4,5,15000.0
157,20260111,5,1,3,1,2500.0
158,20260111,6,20,4,1,18000.0
159,20260106,9,30,5,4,36000.0
160,20260102,3,5,4,5,60000.0
161,20260110,2,35,1,1,2800.0
162,20260111,10,12,5,3,10500.0
163,20260112,4,6,2,4,18000.0
164,20260113,1,4,4,3,9000.0
165,20260109,4,3,3,4,18000.0
166,20260103,3,11,5,3,36000.0
167,20260108,9,4,5,4,36000.0
168,20260108,9,14,1,5,45000.0
169,20260105,2,20,5,4,11200.0
170,20260112,2,5,3,2,5600.0
171,20260111,2,1,1,1,2800.0
172,20260103,4,30,2,5,22500.0
173,20260108,3,20,1,1,12000.0
174,20260112,5,15,4,1,2500.0
175,20260113,10,7,5,1,3500.0
176,20260102,8,5,3,5,25000.0
177,20260108,10,5,5,4,14000.0
178,20260103,10,12,3,4,14000.0
179,20260105,9,10,4,1,9000.0
180,20260107,5,8,1,4,10000.0
181,20260108,7,15,4,5,75000.0
182,20260107,2,40,3,2,5600.0
183,20260112,1,30,5,5,15000.0
184,20260110,6,8,1,1,18000.0
185,20260101,5,12,2,5,12500.0
186,20260101,7,14,4,1,15000.0
187,20260108,1,35,1,1,3000.0
188,20260114,5,11,3,2,5000.0
189,20260101,4,14,1,3,13500.0
190,20260115,9,40,3,3,27000.0
191,20260103,5,4,1,1,2500.0
192,20260104,5,1,2,3,7500.0
193,20260109,8,30,5,2,10000.0
194,20260113,2,1,3,2,5600.0
195,20260106,6,7,1,3,54000.0
196,20260101,10,9,5,3,10500.0
197,20260103,2,8,2,1,2800.0
198,20260108,9,5,4,4,36000.0
199,20260104,10,1,4,1,3500.0
200,20260104,4,3,3,1,4500.0
201,20260115,1,11,1,5,15000.0
202,20260105,9,30,4,4,36000.0
203,20260110,6,13,5,3,54000.0
204,20260114,2,6,4,5,14000.0
205,20260113,7,5,1,2,30000.0
206,20260110,7,6,4,1,15000.0
207,20260105,10,8,5,2,7000.0
208,20260112,4,1,1,1,4500.0
209,20260102,2,25,3,3,8400.0
210,20260106,2,25,4,2,5600.0
211,20260115,6,5,5,3,54000.0
212,20260102,10,20,5,1,3500.0
213,20260105,7,4,1,3,45000.0
214,20260104,6,40,5,4,72000.0
215,20260104,7,25,1,1,15000.0
216,20260115,5,35,3,2,5000.0
217,20260108,10,30,3,4,14000.0
218,20260102,8,11,2,1,5000.0
219,20260110,4,11,1,5,22500.0
220,20260112,7,14,1,2,30000.0
221,20260112,7,7,5,3,45000.0
222,20260111,3,10,3,5,60000.0
223,20260104,7,30,3,2,30000.0
224,20260107,4,2,2,4,18000.0
225,20260113,1,5,4,4,12000.0
226,20260107,8,3,4,5,25000.0
227,20260101,10,20,1,3,10500.0
228,20260111,10,14,3,2,7000.0
229,20260105,5,3,2,3,7500.0
230,20260112,10,40,1,4,14000.0
231,20260106,2,15,5,1,2800.0
232,20260115,1,11,3,5,15000.0
233,20260113,1,14,3,4,12000.0
234,20260111,3,40,3,2,24000.0
235,20260103,4,25,4,2,9000.0
236,20260101,1,10,3,4,12000.0
237,20260112,9,15,4,3,27000.0
238,20260106,5,40,5,5,12500.0
239,20260105,10,2,2,4,14000.0
240,20260104,8,30,4,5,25000.0
241,20260102,7,6,4,2,30000.0
242,20260103,6,14,2,1,18000.0
243,20260111,5,1,3,1,2500.0
244,20260111,2,5,2,2,5600.0
245,20260114,10,20,5,4,14000.0
246,20260110,5,14,5,4,10000.0
247,20260103,2,4,1,2,5600.0
248,20260101,9,12,3,3,27000.0
249,20260108,2,1,3,5,14000.0
250,20260104,3,2,5,2,24000.0
251,20260103,10,2,5,2,7000.0
252,20260108,5,35,3,4,10000.0
253,20260111,9,9,4,5,45000.0
254,20260111,1,6,3,4,12000.0
255,20260107,2,25,2,4,11200.0
256,20260110,8,11,5,2,10000.0
257,20260104,8,20,5,3,15000.0
258,20260103,6,5,4,2,36000.0
259,20260109,1,12,4,4,12000.0
260,20260106,7,30,1,5,75000.0
261,20260114,1,6,1,4,12000.0
262,20260105,3,40,1,5,60000.0
263,20260106,6,10,4,5,90000.0
264,20260102,8,15,4,3,15000.0
265,20260111,6,25,3,4,72000.0
266,20260111,9,11,3,3,27000.0
267,20260113,7,20,3,4,60000.0
268,20260101,8,7,4,1,5000.0
269,20260113,3,30,3,1,12000.0
270,20260108,5,10,2,3,7500.0
271,20260101,8,12,4,4,20000.0
272,20260113,5,2,5,2,5000.0
273,20260109,8,5,1,1,5000.0
274,20260114,3,3,1,4,48000.0
275,20260101,9,11,1,4,36000.0
276,20260113,3,6,1,3,36000.0
277,20260115,2,40,1,4,11200.0
278,20260107,9,5,2,2,18000.0
279,20260104,1,9,1,2,6000.0
280,20260109,10,9,4,3,10500.0
281,20260107,2,13,4,4,11200.0
282,20260106,9,10,3,3,27000.0
283,20260114,8,40,5,4,20000.0
284,20260103,8,10,1,4,20000.0
285,20260110,1,1,3,5,15000.0
286,20260101,8,2,3,2,10000.0
287,20260108,3,40,5,5,60000.0
288,20260110,3,14,5,4,48000.0
289,20260113,5,12,2,4,10000.0
290,20260112,7,3,3,5,75000.0
291,20260113,8,11,5,2,10000.0
292,20260103,2,14,4,1,2800.0
293,20260113,10,12,1,4,14000.0
294,20260110,8,4,3,3,15000.0
295,20260112,9,13,4,3,27000.0
296,20260110,2,4,1,3,8400.0
297,20260104,2,6,5,5,14000.0
298,20260105,8,4,5,5,25000.0
299,20260114,6,3,3,2,36000.0
300,20260102,5,7,1,3,7500.0
301,20260106,1,2,1,1,3000.0
302,20260102,3,4,2,5,60000.0
303,20260108,2,13,4,4,11200.0
304,20260103,10,10,5,4,14000.0
305,20260106,4,2,1,2,9000.0
306,20260104,2,8,2,4,11200.0
307,20260104,9,25,4,1,9000.0
308,20260102,4,12,2,1,4500.0
309,20260110,4,6,1,3,13500.0
